City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Ploemeur,FR,47.7333,-3.4333,56.62,81,0,8.05,clear sky
142,Bismarck,US,46.8083,-100.7837,29.8,75,75,35.68,broken clouds
143,Pangnirtung,CA,66.1451,-65.7125,-0.4,85,100,19.57,light snow
144,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.96,93,100,13.8,overcast clouds
145,Mao,ES,39.8885,4.2658,52.36,82,0,2.3,clear sky
146,Bulgan,MN,48.8125,103.5347,38.26,52,15,5.03,few clouds
147,Agirish,RU,61.9247,63.0231,24.4,89,70,7.25,broken clouds
148,Hobyo,SO,5.3505,48.5268,82.81,78,44,12.37,moderate rain
149,Keti Bandar,PK,24.1447,67.4497,80.02,88,44,10.98,scattered clouds
150,Nantucket,US,41.2835,-70.0995,46.51,70,100,19.57,overcast clouds
151,Pochinki,RU,54.6988,44.8668,32.86,98,100,7.72,overcast clouds
152,Hojai,IN,26.0,92.8667,70.81,86,1,5.23,clear sky
153,Price,US,39.5994,-110.8107,64.11,19,0,19.57,clear sky
154,Hoima,UG,1.4356,31.3436,67.01,81,84,3.71,broken clouds
155,Saint-Philippe,RE,-21.3585,55.7679,74.79,88,73,13.38,light rain
156,Atuona,PF,-9.8,-139.0333,79.9,77,12,17.29,few clouds
157,Mastic Beach,US,40.7668,-72.8521,51.98,35,0,19.57,clear sky
158,Grand Gaube,MU,-20.0064,57.6608,77.4,91,32,4.0,scattered clouds
159,Zyryanovsk,KZ,49.7386,84.2719,37.13,88,100,3.0,overcast clouds
160,Matara,LK,5.9485,80.5353,79.02,85,97,5.68,overcast clouds
161,Bonoua,CI,5.2741,-3.595,82.02,90,100,3.58,overcast clouds
162,Martapura,ID,-3.4167,114.85,75.29,100,100,3.44,overcast clouds
163,Berezovyy,RU,51.6667,135.7,23.09,93,98,2.53,overcast clouds
164,Cockburn Town,TC,21.4612,-71.1419,78.03,84,13,19.66,few clouds
165,Kiama,AU,-34.6833,150.8667,63.57,81,82,6.91,broken clouds
166,Sao Filipe,CV,14.8961,-24.4956,71.65,77,3,12.06,clear sky
167,Vilkaviskis,LT,54.6517,23.0322,35.64,71,19,5.86,few clouds
168,Pozo Colorado,PY,-23.4923,-58.7972,72.79,53,98,3.83,overcast clouds
169,Salalah,OM,17.0151,54.0924,79.63,85,18,2.19,few clouds
170,Iqaluit,CA,63.7506,-68.5145,-0.31,64,40,18.41,scattered clouds
171,Evensk,RU,61.95,159.2333,26.53,82,100,5.46,overcast clouds
172,Lebu,CL,-37.6167,-73.65,57.31,79,100,10.56,overcast clouds
173,Vestmannaeyjar,IS,63.4427,-20.2734,43.05,70,27,6.13,scattered clouds
174,Rayong,TH,12.8333,101.4333,84.79,99,100,1.95,overcast clouds
175,Tambovka,RU,50.0969,128.0489,33.76,56,79,2.04,broken clouds
176,San Cristobal,VE,7.7669,-72.225,75.38,84,100,4.34,overcast clouds
177,Mount Gambier,AU,-37.8333,140.7667,53.51,94,100,9.22,overcast clouds
178,Geraldton,AU,-28.7667,114.6,50.41,87,0,6.91,clear sky
179,Laguna,US,38.421,-121.4238,72.14,33,0,8.05,clear sky
180,Rio Gallegos,AR,-51.6226,-69.2181,57.25,58,75,1.14,broken clouds
181,Mocuba,MZ,-16.8392,36.9856,70.12,97,0,3.53,clear sky
182,Fortuna,US,40.5982,-124.1573,58.93,56,0,9.22,clear sky
183,New Ulm,US,44.3125,-94.4605,34.18,90,100,8.05,overcast clouds
184,Kemijarvi,FI,66.7131,27.4306,40.75,90,100,0.31,overcast clouds
185,Bud,US,39.447,-86.1758,54.19,43,100,11.61,overcast clouds
186,Luganville,VU,-15.5333,167.1667,81.12,79,82,2.24,light rain
187,Torbay,CA,47.6666,-52.7314,45.37,88,100,9.22,overcast clouds
188,Carutapera,BR,-1.195,-46.02,77.85,87,97,6.22,moderate rain
189,Kutum,SD,14.2,24.6667,78.84,16,8,0.89,clear sky
190,Abu Dhabi,AE,24.4667,54.3667,82.51,44,0,12.66,clear sky
191,Broome,US,42.2506,-75.833,44.15,45,100,8.99,overcast clouds
192,Hovd,MN,48.0056,91.6419,42.49,29,0,6.93,clear sky
193,Kenora,CA,49.8167,-94.4337,31.17,59,100,3.44,overcast clouds
194,Gizo,SB,-8.103,156.8419,82.08,74,90,9.22,overcast clouds
195,Awbari,LY,26.5921,12.7805,66.09,32,81,6.67,broken clouds
196,Ponta Do Sol,PT,32.6667,-17.1,68.63,49,100,12.35,overcast clouds
