City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
188,Juneau,US,2022-04-16 12:30:06,58.3019,-134.4197,38.21,84,100,4.61
189,Nanortalik,GL,2022-04-16 12:30:06,60.1432,-45.2371,30.92,76,4,12.3
190,Pak Chong,TH,2022-04-16 12:30:07,14.708,101.4161,86.2,45,76,5.84
191,New Glasgow,CA,2022-04-16 12:30:08,45.5834,-62.6486,46.18,59,28,17.6
192,Codrington,AU,2022-04-16 12:30:08,-38.2667,141.9667,60.21,73,100,6.82
193,Port Keats,AU,2022-04-16 12:30:09,-14.25,129.55,82.18,71,92,1.72
194,Lincoln,US,2022-04-16 12:29:30,40.8,-96.667,29.28,61,0,9.22
195,Half Moon Bay,US,2022-04-16 12:30:09,37.4636,-122.4286,56.43,91,100,16.11
196,Bara,NG,2022-04-16 12:30:10,10.3744,10.7288,101.19,26,12,9.17
197,Vila Velha,BR,2022-04-16 12:30:10,-20.3297,-40.2925,76.95,64,0,12.66
198,Beloha,MG,2022-04-16 12:30:10,-25.1667,45.05,86.77,51,11,13.44
199,Tucurui,BR,2022-04-16 12:30:11,-3.7661,-49.6725,81.39,81,37,3.09
200,Kameoka,JP,2022-04-16 12:30:11,35.0,135.5833,50.68,77,100,1.99
201,Morris,US,2022-04-16 12:29:40,40.8334,-74.5329,56.21,54,100,9.22
202,Silifke,TR,2022-04-16 12:30:12,36.3778,33.9344,69.6,49,29,6.51
203,Camana,PE,2022-04-16 12:30:12,-16.6228,-72.7111,66.87,82,95,9.91
204,Kunszentmarton,HU,2022-04-16 12:30:12,46.8392,20.2888,55.42,96,100,16.08
205,La Romana,DO,2022-04-16 12:29:16,18.4273,-68.9728,75.56,88,75,4.61
206,Camabatela,AO,2022-04-16 12:30:13,-8.1881,15.375,77.07,67,76,4.83
207,Butaritari,KI,2022-04-16 12:30:13,3.0707,172.7902,80.56,79,66,12.62
208,Itacoatiara,BR,2022-04-16 12:30:14,-3.1431,-58.4442,80.15,81,100,2.48
209,Gravdal,NO,2022-04-16 12:30:14,68.1214,13.5031,42.3,95,100,13.22
210,Santiago,CL,2022-04-16 12:29:56,-33.4569,-70.6483,56.28,78,100,3.44
211,Riyadh,SA,2022-04-16 12:30:14,24.6877,46.7219,98.74,39,100,19.48
212,Vostok,RU,2022-04-16 12:30:15,46.4856,135.8833,33.15,95,100,4.5
213,Lima,PE,2022-04-16 12:29:47,-12.0432,-77.0282,61.05,94,75,3.44
214,Abaza,RU,2022-04-16 12:30:15,52.655,90.0928,51.85,57,14,2.98
215,Lompoc,US,2022-04-16 12:30:16,34.6391,-120.4579,51.93,88,100,4.61
216,Trondheim,NO,2022-04-16 12:30:16,63.4305,10.3951,51.85,51,86,1.99
217,Chuy,UY,2022-04-16 12:30:16,-33.6971,-53.4616,65.5,60,100,5.35
218,Talnakh,RU,2022-04-16 12:30:17,69.4865,88.3972,27.21,95,100,3.24
219,Kirensk,RU,2022-04-16 12:30:17,57.7853,108.1119,32.72,97,100,3.06
220,Sao Filipe,CV,2022-04-16 12:30:17,14.8961,-24.4956,72.39,73,1,10.09
221,Cidreira,BR,2022-04-16 12:30:18,-30.1811,-50.2056,66.43,65,99,7.96
222,Kendari,ID,2022-04-16 12:30:19,-3.945,122.4989,77.18,91,72,2.24
223,San Patricio,US,2022-04-16 12:30:19,28.017,-97.5169,75.09,93,98,9.51
224,Karakol,KG,2022-04-16 12:30:19,42.4907,78.3936,51.82,53,0,0.43
225,Visnes,NO,2022-04-16 12:30:20,59.3556,5.2242,49.82,66,100,14.97
226,Pozoblanco,ES,2022-04-16 12:30:20,38.3791,-4.8483,74.79,33,0,5.93
227,La Asuncion,VE,2022-04-16 12:30:21,11.0333,-63.8628,76.73,100,31,12.66
228,Lagoa,PT,2022-04-16 12:30:21,39.05,-27.9833,58.73,70,95,0.81
229,Batagay-Alyta,RU,2022-04-16 12:30:21,67.8006,130.4114,-4.7,100,94,5.37
230,Naduvattam,IN,2022-04-16 12:31:22,11.4833,76.5667,62.08,86,54,4.09
231,Ialibu,PG,2022-04-16 12:31:22,-6.2821,143.9935,57.54,96,100,2.66
232,Vao,NC,2022-04-16 12:31:22,-22.6667,167.4833,76.87,78,0,6.67
233,Hurghada,EG,2022-04-16 12:27:51,27.2574,33.8129,81.16,39,0,11.18
234,Bredasdorp,ZA,2022-04-16 12:31:23,-34.5322,20.0403,65.59,50,36,17.67
235,Shasta Lake,US,2022-04-16 12:31:23,40.6804,-122.3708,45.75,91,100,2.8
236,Gushi,CN,2022-04-16 12:31:23,34.6425,109.5843,53.6,53,100,3.87
237,Balkanabat,TM,2022-04-16 12:31:24,39.5108,54.3671,66.43,43,100,11.7
238,Awjilah,LY,2022-04-16 12:31:24,29.1081,21.2869,109.08,5,57,27.83
239,Ponta Delgada,PT,2022-04-16 12:31:24,37.7333,-25.6667,65.12,68,20,10.36
240,Sorong,ID,2022-04-16 12:31:25,-0.8833,131.25,82.58,82,70,13.15
