City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
640,Tuy Hoa,VN,75.79,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
641,Manzanillo,CU,83.8,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
642,Princeton,US,84.02,few clouds,25.5384,-80.4089,American Best Inn
644,Boyolangu,ID,75.79,overcast clouds,-8.1181,111.8935,Yos ega cv
649,Sherman,US,78.62,clear sky,33.6357,-96.6089,La Quinta Inn & Suites by Wyndham Sherman
651,Chapada Dos Guimaraes,BR,78.46,few clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
653,Carauari,BR,81.43,heavy intensity rain,-4.8828,-66.8958,Hotel Fellip
655,Port Hedland,AU,77.05,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
657,Forecariah,GN,77.27,scattered clouds,9.4306,-13.0881,"Motel "" La Maison Blanche"""
660,Denpasar,ID,80.26,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
